date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:51	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/fonts/fontawesome-webfont.svg?v=4.7.0	/home/gaurav/websites/Hospital/radixtouch.in/hospital/fonts/fontawesome-webfont3e6e.svg	(from http://radixtouch.in/hospital/css/font-awesome.min.css)
21:04:51	98024/98024	---M--	200	added ('OK')	application/font-woff	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/fonts/fontawesome-webfont.woff?v=4.7.0	/home/gaurav/websites/Hospital/radixtouch.in/hospital/fonts/fontawesome-webfont3e6e.woff	(from http://radixtouch.in/hospital/css/font-awesome.min.css)
21:04:51	22254/22254	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/layout.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/layout.js	(from http://radixtouch.in/hospital/)
21:04:53	18028/18028	---M--	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.woff2	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.html	(from http://radixtouch.in/hospital/js/bootstrap/css/bootstrap.min.css)
21:04:53	2341/2341	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/chart-js/utils.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/chart-js/utils.js	(from http://radixtouch.in/hospital/)
21:04:55	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.eot	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://radixtouch.in/hospital/js/bootstrap/css/bootstrap.min.css)
21:04:56	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/gaurav/websites/Hospital/radixtouch.in/hospital/fonts/fontawesome-webfont3e6e.ttf	(from http://radixtouch.in/hospital/css/font-awesome.min.css)
21:04:57	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.woff	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://radixtouch.in/hospital/js/bootstrap/css/bootstrap.min.css)
21:04:57	3401/3401	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2005:30:18%20GMT	http://radixtouch.in/hospital/js/chart-js/home-data.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/chart-js/home-data.js	(from http://radixtouch.in/hospital/)
21:04:59	4836/4836	URF---	200	added ('OK%20(cached)')	image/jpeg		http://radixtouch.in/hospital/img/mega-img1.jpg	/home/gaurav/websites/Hospital/radixtouch.in/hospital/img/mega-img1.jpg	(from http://radixtouch.in/hospital/user_profile.html)
